{'bands': 2, 'table_size': 64, 'num_hashes': 1, 'KFLOPs': 10.24}
{'bands': 2, 'table_size': 64, 'num_hashes': 2, 'KFLOPs': 20.48}
{'bands': 2, 'table_size': 64, 'num_hashes': 3, 'KFLOPs': 30.72}
{'bands': 2, 'table_size': 64, 'num_hashes': 4, 'KFLOPs': 40.96}
{'bands': 2, 'table_size': 128, 'num_hashes': 1, 'KFLOPs': 10.24}
{'bands': 2, 'table_size': 128, 'num_hashes': 2, 'KFLOPs': 20.48}
{'bands': 2, 'table_size': 128, 'num_hashes': 3, 'KFLOPs': 30.72}
{'bands': 2, 'table_size': 128, 'num_hashes': 4, 'KFLOPs': 40.96}
{'bands': 2, 'table_size': 192, 'num_hashes': 1, 'KFLOPs': 10.24}
{'bands': 2, 'table_size': 192, 'num_hashes': 2, 'KFLOPs': 20.48}
{'bands': 2, 'table_size': 192, 'num_hashes': 3, 'KFLOPs': 30.72}
{'bands': 2, 'table_size': 192, 'num_hashes': 4, 'KFLOPs': 40.96}
{'bands': 2, 'table_size': 256, 'num_hashes': 1, 'KFLOPs': 10.24}
{'bands': 2, 'table_size': 256, 'num_hashes': 2, 'KFLOPs': 20.48}
{'bands': 2, 'table_size': 256, 'num_hashes': 3, 'KFLOPs': 30.72}
{'bands': 2, 'table_size': 256, 'num_hashes': 4, 'KFLOPs': 40.96}
{'bands': 4, 'table_size': 64, 'num_hashes': 1, 'KFLOPs': 20.48}
{'bands': 4, 'table_size': 64, 'num_hashes': 2, 'KFLOPs': 40.96}
{'bands': 4, 'table_size': 64, 'num_hashes': 3, 'KFLOPs': 61.44}
{'bands': 4, 'table_size': 64, 'num_hashes': 4, 'KFLOPs': 81.92}
{'bands': 4, 'table_size': 128, 'num_hashes': 1, 'KFLOPs': 20.48}
{'bands': 4, 'table_size': 128, 'num_hashes': 2, 'KFLOPs': 40.96}
{'bands': 4, 'table_size': 128, 'num_hashes': 3, 'KFLOPs': 61.44}
{'bands': 4, 'table_size': 128, 'num_hashes': 4, 'KFLOPs': 81.92}
{'bands': 4, 'table_size': 192, 'num_hashes': 1, 'KFLOPs': 20.48}
{'bands': 4, 'table_size': 192, 'num_hashes': 2, 'KFLOPs': 40.96}
{'bands': 4, 'table_size': 192, 'num_hashes': 3, 'KFLOPs': 61.44}
{'bands': 4, 'table_size': 192, 'num_hashes': 4, 'KFLOPs': 81.92}
{'bands': 4, 'table_size': 256, 'num_hashes': 1, 'KFLOPs': 20.48}
{'bands': 4, 'table_size': 256, 'num_hashes': 2, 'KFLOPs': 40.96}
{'bands': 4, 'table_size': 256, 'num_hashes': 3, 'KFLOPs': 61.44}
{'bands': 4, 'table_size': 256, 'num_hashes': 4, 'KFLOPs': 81.92}
{'bands': 6, 'table_size': 64, 'num_hashes': 1, 'KFLOPs': 30.72}
{'bands': 6, 'table_size': 64, 'num_hashes': 2, 'KFLOPs': 61.44}
{'bands': 6, 'table_size': 64, 'num_hashes': 3, 'KFLOPs': 92.16}
{'bands': 6, 'table_size': 64, 'num_hashes': 4, 'KFLOPs': 122.88}
{'bands': 6, 'table_size': 128, 'num_hashes': 1, 'KFLOPs': 30.72}
{'bands': 6, 'table_size': 128, 'num_hashes': 2, 'KFLOPs': 61.44}
{'bands': 6, 'table_size': 128, 'num_hashes': 3, 'KFLOPs': 92.16}
{'bands': 6, 'table_size': 128, 'num_hashes': 4, 'KFLOPs': 122.88}
{'bands': 6, 'table_size': 192, 'num_hashes': 1, 'KFLOPs': 30.72}
{'bands': 6, 'table_size': 192, 'num_hashes': 2, 'KFLOPs': 61.44}
{'bands': 6, 'table_size': 192, 'num_hashes': 3, 'KFLOPs': 92.16}
{'bands': 6, 'table_size': 192, 'num_hashes': 4, 'KFLOPs': 122.88}
{'bands': 6, 'table_size': 256, 'num_hashes': 1, 'KFLOPs': 30.72}
{'bands': 6, 'table_size': 256, 'num_hashes': 2, 'KFLOPs': 61.44}
{'bands': 6, 'table_size': 256, 'num_hashes': 3, 'KFLOPs': 92.16}
{'bands': 6, 'table_size': 256, 'num_hashes': 4, 'KFLOPs': 122.88}
{'bands': 8, 'table_size': 64, 'num_hashes': 1, 'KFLOPs': 40.96}
{'bands': 8, 'table_size': 64, 'num_hashes': 2, 'KFLOPs': 81.92}
{'bands': 8, 'table_size': 64, 'num_hashes': 3, 'KFLOPs': 122.88}
{'bands': 8, 'table_size': 64, 'num_hashes': 4, 'KFLOPs': 163.84}
{'bands': 8, 'table_size': 128, 'num_hashes': 1, 'KFLOPs': 40.96}
{'bands': 8, 'table_size': 128, 'num_hashes': 2, 'KFLOPs': 81.92}
{'bands': 8, 'table_size': 128, 'num_hashes': 3, 'KFLOPs': 122.88}
{'bands': 8, 'table_size': 128, 'num_hashes': 4, 'KFLOPs': 163.84}
{'bands': 8, 'table_size': 192, 'num_hashes': 1, 'KFLOPs': 40.96}
{'bands': 8, 'table_size': 192, 'num_hashes': 2, 'KFLOPs': 81.92}
{'bands': 8, 'table_size': 192, 'num_hashes': 3, 'KFLOPs': 122.88}
{'bands': 8, 'table_size': 192, 'num_hashes': 4, 'KFLOPs': 163.84}
{'bands': 8, 'table_size': 256, 'num_hashes': 1, 'KFLOPs': 40.96}
{'bands': 8, 'table_size': 256, 'num_hashes': 2, 'KFLOPs': 81.92}
{'bands': 8, 'table_size': 256, 'num_hashes': 3, 'KFLOPs': 122.88}
{'bands': 8, 'table_size': 256, 'num_hashes': 4, 'KFLOPs': 163.84}
